Artichokes,3
Asparagus,3
Basil,3
Bok Choy,3
Broccoli,3
Berries,3
Cherries,3
Corn,3
Figs,3
Mushrooms,3
Red Peppers,3
Apricots,5
Broccoli,5
Cucumbers,5
Eggplant,5
Grapes,5
Kiwis,5
Lettuce,5
Nectarines,5
Pineapple,5
Plums,5
Spinach,5
Green Peppers,7
Brussels Sprouts,7
Cauliflower,7
Grapefruit,7
Lemons,7
Lettuce,7
Melons,7
Oranges,7
Peaches,7
Pears,7
Plums,7
Sweet Potatoes,7
Tomatoes,7
Apples,14
Cabbage,14
Carrots,14
Celery,14
Garlic,14
Jicama,14
Onions,14
Oranges,14
Pomegranates,14
Potatoes,14
Radishes,14
Milk,14
Eggs,21
Cheese,90
Butter,180
